iter	Passed	Remaining
959	5203	49003
960	5208	48991
961	5214	48985
962	5219	48976
963	5226	48991
964	5233	48997
965	5238	48988
966	5243	48978
967	5247	48963
968	5252	48956
969	5260	48975
970	5266	48966
971	5270	48954
972	5276	48949
973	5281	48941
974	5286	48931
975	5293	48939
976	5298	48931
977	5303	48923
978	5308	48914
979	5313	48902
980	5317	48889
981	5324	48900
982	5331	48906
983	5336	48899
984	5341	48889
985	5346	48880
986	5351	48872
987	5359	48884
988	5365	48881
989	5370	48875
990	5375	48871
991	5381	48864
992	5388	48875
993	5394	48875
994	5399	48865
995	5404	48856
996	5408	48843
997	5413	48832
998	5421	48845
999	5427	48845
1000	5432	48837
1001	5438	48839
1002	5444	48835
1003	5449	48830
1004	5457	48849
1005	5464	48850
1006	5468	48835
1007	5473	48830
1008	5478	48821
1009	5484	48813
1010	5491	48823
1011	5496	48819
1012	5501	48809
1013	5506	48798
1014	5511	48791
1015	5518	48801
1016	5523	48791
1017	5528	48781
1018	5533	48770
1019	5539	48771
1020	5545	48765
1021	5552	48781
1022	5558	48775
1023	5563	48766
1024	5568	48759
1025	5574	48759
1026	5580	48754
1027	5587	48765
1028	5593	48765
1029	5598	48754
1030	5603	48747
1031	5609	48742
1032	5614	48732
1033	5621	48746
1034	5626	48735
1035	5631	48729
1036	5636	48719
1037	5642	48717
1038	5647	48706
1039	5655	48723
1040	5661	48721
1041	5665	48708
1042	5671	48703
1043	5676	48694
1044	5684	48708
1045	5689	48702
1046	5694	48691
1047	5699	48680
1048	5703	48670
1049	5708	48659
1050	5716	48672
1051	5721	48667
1052	5727	48664
1053	5732	48652
1054	5736	48639
1055	5741	48630
1056	5748	48640
1057	5754	48634
1058	5759	48622
1059	5764	48614
1060	5769	48608
1061	5774	48599
1062	5782	48613
1063	5787	48604
1064	5792	48598
1065	5797	48584
1066	5802	48575
1067	5807	48568
1068	5814	48579
1069	5819	48572
1070	5825	48568
1071	5830	48560
1072	5835	48551
1073	5840	48543
1074	5848	48552
1075	5852	48540
1076	5858	48536
1077	5863	48526
1078	5868	48517
1079	5873	48507
1080	5877	48495
1081	5885	48511
1082	5890	48499
1083	5895	48494
1084	5900	48484
1085	5907	48493
1086	5915	48501
1087	5920	48496
1088	5925	48486
1089	5930	48477
1090	5935	48465
1091	5939	48454
1092	5948	48472
1093	5953	48469
1094	5958	48458
1095	5963	48448
1096	5968	48440
1097	5973	48430
1098	5980	48436
1099	5985	48429
1100	5990	48417
1101	5994	48401
1102	5999	48390
1103	6005	48390
1104	6012	48396
1105	6017	48388
1106	6023	48386
1107	6028	48377
1108	6032	48367
1109	6038	48359
1110	6042	48347
1111	6050	48358
1112	6055	48352
1113	6060	48338
1114	6065	48331
1115	6070	48325
1116	6076	48320
1117	6083	48331
1118	6089	48328
1119	6094	48320
1120	6100	48317
1121	6105	48314
1122	6115	48341
1123	6179	48796
1124	6217	49046
1125	6256	49310
1126	6305	49644
1127	6347	49928
1128	6386	50185
1129	6426	50446
1130	6464	50691
1131	6513	51022
1132	6554	51298
1133	6589	51520
1134	6641	51876
1135	6680	52127
1136	6719	52382
1137	6758	52634
1138	6805	52942
1139	6846	53212
1140	6885	53463
1141	6923	53705
1142	6964	53966
